This is the complete list of games supported by MAME 0.79 (Jan 28 2004).
Variants of the same game are not included, you can use the -listclones command
to get a list of the alternate versions of a given game.

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Mario Bros.                      |  Yes  |  Yes  | Yes(2)|  Yes  | mario    |
| Markham                          |  Yes  |  Yes  |  Yes  |  Yes  | markham  |
| Mars                             |  Yes  |  Yes  |  Yes  |  Yes  | mars     |
| Mars Matrix: Hyper Solid Shooting|  Yes  |  Yes  |  Yes  |  Yes  | mmatrix  |
| Martial Champion                 |  Yes  |  Yes  |  Yes  |  Yes  | mtlchamp |
| Maru-Chan de Goo!                |   No  |  Yes  |Partial|  Yes  | maruchan |
| Marvel Land                      |  Yes  |  Yes  |  Yes  |  Yes  | marvland |
| Marvel Super Heroes              | No(1) |  Yes  |  Yes  |  Yes  | msh      |
| Marvel Super Heroes Vs. Street Fi|  Yes  |  Yes  |  Yes  |  Yes  | mshvsf   |
| Marvel Vs. Capcom: Clash of Super|  Yes  |  Yes  |  Yes  |  Yes  | mvsc     |
| Marvin's Maze                    |  Yes  |  Yes  |  Yes  |   No  | marvins  |
| Masked Riders Club Battle Race   |  Yes  |  Yes  |  Yes  |  Yes  | kamenrid |
| Master of Weapon                 |  Yes  |  Yes  |  Yes  |  Yes  | masterw  |
| Masters of Kin, The              |  Yes  |   No  |  Yes  |  Yes  | mastkin  |
| Mat Mania                        |  Yes  |  Yes  |  Yes  |  Yes  | matmania |
| Mausuke no Ojama the World       |  Yes  |  Yes  |Partial|  Yes  | mausuke  |
| Max RPM                          |  Yes  |  Yes  |  Yes  |  Yes  | maxrpm   |
| Maximum Force v1.05              |  Yes  |  Yes  |  Yes  |  Yes  | maxforce |
| Maya                             |  Yes  |  Yes  |  Yes  |  Yes  | maya     |
| Mayday                           |  Yes  |  Yes  |  Yes  |  Yes  | mayday   |
| Mayhem 2002                      |  Yes  |  Yes  |  Yes  |  Yes  | mayhem   |
| Maze of Flott                    |  Yes  |  Yes  |  Yes  |  Yes  | mofflott |
| Mazer Blazer                     |   No  |  Yes  |   No  |  Yes  | mazerbla |
| Mazinger Z                       |  Yes  |  Yes  |  Yes  |  Yes  | mazinger |
| Meadows Lanes                    |  Yes  |  Yes  |Partial|  Yes  | medlanes |
| Mechanized Attack                |  Yes  |  Yes  |  Yes  |  Yes  | mechatt  |
| Medal Mahjong Circuit no Mehyou [|  Yes  |  Yes  |  Yes  |  Yes  | mmehyou  |
| Medal Mahjong Janjan Baribari [BE|  Yes  |  Yes  |  Yes  |  Yes  | mjanbari |
| Medal Mahjong Pachi-Slot Tengoku |  Yes  |  Yes  |  Yes  |  Yes  | pachiten |
| Mega Blast                       |  Yes  |  Yes  |  Yes  |  Yes  | megab    |
| Mega Man - The Power Battle      |  Yes  |  Yes  |  Yes  |  Yes  | megaman  |
| Mega Man 2: The Power Fighters   |  Yes  |  Yes  |  Yes  |  Yes  | megaman2 |
| Mega Twins                       |  Yes  |  Yes  |  Yes  |  Yes  | mtwins   |
| Mega Zone                        |  Yes  |  Yes  |  Yes  |  Yes  | megazone |
| MegaPlay: Golden Axe 2           |   No  |  Yes  |  Yes  |  Yes  | mp_gaxe2 |
| MegaPlay: Sonic The Hedgehog     |   No  |  Yes  |  Yes  |  Yes  | mp_sonic |
| MegaTech: Afterburner            |   No  |  Yes  |  Yes  |  Yes  | mt_aftrb |
| MegaTech: Altered Beast          |   No  |  Yes  |  Yes  |  Yes  | mt_beast |
| MegaTech: Arnold Palmer Tournamen|   No  |  Yes  |  Yes  |  Yes  | mt_tgolf |
| MegaTech: Astro Warrior          |   No  |  Yes  |  Yes  |  Yes  | mt_astro |
| MegaTech: Bonanza Bros.          |   No  |  Yes  |  Yes  |  Yes  | mt_bbros |
| MegaTech: E-Swat                 |   No  |  Yes  |  Yes  |  Yes  | mt_eswat |
| MegaTech: Fire Shark             |   No  |  Yes  |  Yes  |  Yes  | mt_fshrk |
| MegaTech: Ghouls and Ghosts      |   No  |  Yes  |  Yes  |  Yes  | mt_gng   |
| MegaTech: Golden Axe             |   No  |  Yes  |  Yes  |  Yes  | mt_gaxe  |
| MegaTech: Golden Axe 2           |   No  |  Yes  |  Yes  |  Yes  | mt_gaxe2 |
| MegaTech: Great Golf             |   No  |  Yes  |  Yes  |  Yes  | mt_ggolf |
| MegaTech: Great Soccer           |   No  |  Yes  |  Yes  |  Yes  | mt_gsocr |
| MegaTech: Kid Chameleon          |   No  |  Yes  |  Yes  |  Yes  | mt_kcham |
| MegaTech: Last Battle.           |   No  |  Yes  |  Yes  |  Yes  | mt_lastb |
| MegaTech: Moonwalker             |   No  |  Yes  |  Yes  |  Yes  | mt_mwalk |
| MegaTech: Mystic Defender        |   No  |  Yes  |  Yes  |  Yes  | mt_mystd |
| MegaTech: Parlour Games          |   No  |  Yes  |  Yes  |  Yes  | mt_parlg |
| MegaTech: Shinobi                |   No  |  Yes  |  Yes  |  Yes  | mt_shnbi |
| MegaTech: Sonic the Hedgehog     |   No  |  Yes  |  Yes  |  Yes  | mt_sonic |
| MegaTech: Space Harrier 2.       |   No  |  Yes  |  Yes  |  Yes  | mt_shar2 |
| MegaTech: Super Monaco Grand Prix|   No  |  Yes  |  Yes  |  Yes  | mt_smgp  |
| MegaTech: Super Thunder Blade    |   No  |  Yes  |  Yes  |  Yes  | mt_stbld |
| MegaTech: Tetris                 |   No  |  Yes  |  Yes  |  Yes  | mt_tetri |
| MegaTech: The Revenge Of Shinobi |   No  |  Yes  |  Yes  |  Yes  | mt_revsh |
| MegaTech: Thunder Force 2        |   No  |  Yes  |  Yes  |  Yes  | mt_tfor2 |
| MegaTech: Tommy Lasorda Baseball |   No  |  Yes  |  Yes  |  Yes  | mt_tlbba |
| MegaTech: World Cup Soccer       |   No  |  Yes  |  Yes  |  Yes  | mt_wcsoc |
| Megadon                          |  Yes  |  Yes  |  Yes  |  Yes  | megadon  |
| Megatack                         |  Yes  |  Yes  |  Yes  |  Yes  | megatack |
| Meikyu Jima                      |  Yes  |  Yes  |  Yes  |   No  | kikcubic |
| Meosis Magic                     |  Yes  |  Yes  |  Yes  |   No  | meosism  |
| Mercs                            |  Yes  |  Yes  |  Yes  |  Yes  | mercs    |
| Mermaid                          |   No  |  Yes  |  Yes  |  Yes  | mermaid  |
| Meta Fox                         |  Yes  |  Yes  |  Yes  |  Yes  | metafox  |
| Metal Black                      |  Yes  |  Yes  |  Yes  |  Yes  | metalb   |
| Metal Clash                      |  Yes  |  Yes  |  Yes  |  Yes  | metlclsh |
| Metal Hawk                       |  Yes  |  Yes  |  Yes  |  Yes  | metlhawk |
| Metal Slug - Super Vehicle-001   |  Yes  |  Yes  |  Yes  |  Yes  | mslug    |
| Metal Slug 2 - Super Vehicle-001/|  Yes  |  Yes  |  Yes  |  Yes  | mslug2   |
| Metal Slug 3                     |  Yes  |  Yes  |  Yes  |  Yes  | mslug3   |
| Metal Slug X - Super Vehicle-001 |  Yes  |  Yes  |  Yes  |  Yes  | mslugx   |
| Metal Soldier Isaac II           |   No  |  Yes  |  Yes  |   No  | msisaac  |
| Metamoqester                     |  Yes  |  Yes  |  Yes  |  Yes  | metmqstr |
| Metamorphic Force                |  Yes  |  Yes  |  Yes  |  Yes  | metamrph |
| Metro-Cross                      |  Yes  |  Yes  |  Yes  |  Yes  | metrocrs |
| Michael Jackson's Moonwalker     | No(1) |  Yes  |  Yes  |  Yes  | moonwalk |
| Midnight Resistance              |  Yes  |  Yes  |  Yes  |  Yes  | midres   |
| Mighty Guy                       |   No  |  Yes  |Partial|  Yes  | mightguy |
| Mighty Monkey                    |  Yes  |  Yes  |  Yes  |  Yes  | mimonkey |
| Mighty! Pang                     |  Yes  |  Yes  |  Yes  |  Yes  | mpangj   |
| Mikie                            |  Yes  |  Yes  |  Yes  |  Yes  | mikie    |
| Mille Miglia 2: Great 1000 Miles |  Yes  |  Yes  |  Yes  |  Yes  | gtmr2    |
| Millipede                        |  Yes  |  Yes  |  Yes  |  Yes  | milliped |
| Minefield                        |  Yes  |  Yes  |  Yes  |  Yes  | minefld  |
| Minesweeper                      |  Yes  |  Yes  |Part(2)|  Yes  | mineswpr |
| Mini Golf                        |  Yes  |  Yes  |  Yes  |  Yes  | minigolf |
| Minivader                        |  Yes  |  Yes  |  Yes  |  Yes  | minivadr |
| Minky Monkey                     |  Yes  |  Yes  |  Yes  |  Yes  | mmonkey  |
| Minnasanno Okagesamadesu         |  Yes  |  Yes  |  Yes  |  Yes  | minasan  |
| Mirai Ninja                      |  Yes  |  Yes  |  Yes  |  Yes  | mirninja |
| Miss Mahjong Contest             |  Yes  |  Yes  |  Yes  |  Yes  | mcontest |
| Miss World '96 Nude              |  Yes  |  Yes  |  Yes  |   No  | missw96  |
| Missile Command                  |  Yes  |  Yes  |  Yes  |  Yes  | missile  |
| Mission 660                      |  Yes  |  Yes  |  Yes  |  Yes  | m660     |
| Mister Viking                    |  Yes  |  Yes  |  Yes  |  Yes  | mrviking |
| Miyasu Nonki no Quiz 18-Kin      |  Yes  |  Yes  |  Yes  |   No  | quiz18k  |
| Mobile Suit Gundam               |  Yes  |  Yes  |  Yes  |  Yes  | msgundam |
| Mobile Suit Gundam EX Revue      |  Yes  |  Yes  |  Yes  |  Yes  | gundamex |
| Moero Pro Yakyuu Homerun         |  Yes  |  Yes  |  Yes  |  Yes  | homerun  |
| Moguchan                         |  Yes  |   No  |  Yes  |  Yes  | moguchan |
| Mogura Desse                     |  Yes  |  Yes  |  Yes  |  Yes  | mogura   |
| Mole Attack                      |  Yes  |  Yes  |  Yes  |  Yes  | mole     |
| Momoko 120%                      |  Yes  |  Yes  |  Yes  |  Yes  | momoko   |
| Money Money                      |  Yes  |  Yes  |Partial|  Yes  | monymony |
| Money Puzzle Exchanger / Money Id|  Yes  |  Yes  |  Yes  |  Yes  | miexchng |
| Monkey Mole Panic                |  Yes  |  Yes  |  Yes  |   No  | mmpanic  |
| Monster Bash                     |  Yes  |  Yes  | Yes(2)|  Yes  | monsterb |
| Monster Slider                   |  Yes  |  Yes  |  Yes  |   No  | mslider  |
| Monte Carlo                      |  Yes  |  Yes  |  Yes  |  Yes  | montecar |
| Moon Alien Part 2                |  Yes  |  Yes  |  Yes  |  Yes  | moonal2  |
| Moon Cresta                      |  Yes  |  Yes  |  Yes  |  Yes  | mooncrst |
| Moon Patrol                      |  Yes  |  Yes  |  Yes  |  Yes  | mpatrol  |
| Moon Quasar                      |  Yes  |  Yes  |  Yes  |  Yes  | moonqsr  |
| Moon Shuttle                     |  Yes  |  Yes  |  Yes  |  Yes  | mshuttle |
| Moonwar                          |  Yes  |  Yes  |  Yes  |  Yes  | moonwar  |
| More More Plus                   |  Yes  |  Yes  |  Yes  |  Yes  | moremorp |
| Moriguchi Hiroko no Quiz de Hyuu!|  Yes  |  Yes  |  Yes  |  Yes  | quizhuhu |
| Mortal Kombat                    |  Yes  |  Yes  |  Yes  |  Yes  | mk       |
| Mortal Kombat 3                  |  Yes  |  Yes  |  Yes  |  Yes  | mk3      |
| Mortal Kombat II                 |  Yes  |  Yes  |  Yes  |  Yes  | mk2      |
| Mosaic                           |  Yes  |  Yes  |  Yes  |  Yes  | mosaic   |
| Moto Frenzy                      |   No  |  Yes  |  Yes  |  Yes  | motofren |
| Motos                            |  Yes  |  Yes  |  Yes  |  Yes  | motos    |
| Mouja                            |  Yes  |  Yes  |  Yes  |   No  | mouja    |
| Mouse Trap                       |  Yes  |  Yes  |  Yes  |  Yes  | mtrap    |
| Mouser                           |  Yes  |  Yes  |  Yes  |  Yes  | mouser   |
| Mr Driller                       |  Yes  |  Yes  |   No  |  Yes  | mrdrillr |
| Mr Driller 2                     |   No  |  Yes  |   No  |  Yes  | mrdrilr2 |
| Mr. Do!                          |  Yes  |  Yes  |  Yes  |  Yes  | mrdo     |
| Mr. Do's Castle                  |  Yes  |  Yes  |  Yes  |  Yes  | docastle |
| Mr. Do's Wild Ride               |  Yes  |  Yes  |  Yes  |  Yes  | dowild   |
| Mr. Goemon                       |  Yes  |  Yes  |  Yes  |  Yes  | mrgoemon |
| Mr. Jong                         |  Yes  |  Yes  |  Yes  |  Yes  | mrjong   |
| Mr. Kougar                       |  Yes  |  Yes  |  Yes  |  Yes  | mrkougar |
| Mr. TNT                          |  Yes  |   No  |  Yes  |  Yes  | mrtnt    |
| Ms. Pac-Man                      |  Yes  |  Yes  |  Yes  |  Yes  | mspacman |
| Mug Smashers                     |  Yes  |  Yes  |  Yes  |  Yes  | mugsmash |
| Multi Champ                      |  Yes  |  Yes  |  Yes  |  Yes  | multchmp |
| Musashi Ganryuuki                |  Yes  |  Yes  |  Yes  |  Yes  | ganryu   |
| Mustache Boy                     |  Yes  |  Yes  |   No  |  Yes  | mustache |
| Mutant Fighter                   |  Yes  |  Yes  |  Yes  |  Yes  | mutantf  |
| Mutant Night                     |  Yes  |  Yes  |  Yes  |  Yes  | mnight   |
| Mutation Nation                  |  Yes  |  Yes  |  Yes  |  Yes  | mutnat   |
| My Hero                          |  Yes  |  Yes  |  Yes  |  Yes  | myhero   |
| Mysterious Stones - Dr. John's Ad|  Yes  |  Yes  |  Yes  |  Yes  | mystston |
| Mystic Marathon                  |  Yes  |  Yes  |  Yes  |  Yes  | mysticm  |
| Mystic Riders                    |  Yes  |  Yes  |  Yes  |  Yes  | mysticri |
| Mystic Warriors                  |  Yes  |  Yes  |  Yes  |  Yes  | mystwarr |
| N.Y. Captor                      |  Yes  |  Yes  |Partial|  Yes  | nycaptor |
| NAM-1975                         |  Yes  |  Yes  |  Yes  |  Yes  | nam1975  |
| NATO Defense                     |  Yes  |  Yes  | Yes(2)|  Yes  | natodef  |
| NBA Hangtime                     |  Yes  |  Yes  |  Yes  |  Yes  | nbahangt |
| NBA Jam                          |  Yes  |  Yes  |  Yes  |  Yes  | nbajam   |
| NBA Jam Extreme                  |   No  |  Yes  |   No  |  Yes  | nbajamex |
| NFL Blitz                        |  Yes  |  Yes  |  Yes  |  Yes  | blitz    |
| NFL Blitz '99                    |  Yes  |  Yes  |  Yes  |  Yes  | blitz99  |
| NFL Blitz 2000                   |  Yes  |  Yes  |  Yes  |  Yes  | blitz2k  |
| Namco Classics Collection Vol.1  |  Yes  |  Yes  |   No  |  Yes  | ncv1     |
| Namco Classics Collection Vol.2  |   No  |  Yes  |   No  |  Yes  | ncv2     |
| Name That Tune                   |  Yes  |  Yes  |  Yes  |  Yes  | nametune |
| Naname de Magic!                 |  Yes  |  Yes  |  Yes  |   No  | naname   |
| Narc                             |  Yes  |  Yes  |  Yes  |  Yes  | narc     |
| Nastar                           |  Yes  |  Yes  |  Yes  |  Yes  | nastar   |
| Naughty Boy                      |  Yes  |  Yes  |  Yes  |   No  | naughtyb |
| Naughty Mouse                    |  Yes  |  Yes  |  Yes  |  Yes  | nmouse   |
| Navarone                         |  Yes  |  Yes  |Partial|  Yes  | navarone |
| Nebulas Ray                      |  Yes  |  Yes  |   No  |  Yes  | nebulray |
| Neck-n-Neck                      |  Yes  |  Yes  |  Yes  |  Yes  | neckneck |
| Nekketsu Grand-Prix Gal          |  Yes  |  Yes  |  Yes  |  Yes  | ngpgal   |
| Nekketsu Mahjong Sengen! AFTER 5 |  Yes  |  Yes  |  Yes  |  Yes  | nmsengen |
| Nemesis                          |  Yes  |  Yes  |  Yes  |  Yes  | nemesis  |
| Nemo                             |  Yes  |  Yes  |  Yes  |  Yes  | nemo     |
| Neo Bomberman                    |  Yes  |  Yes  |  Yes  |  Yes  | neobombe |
| Neo Drift Out - New Technology   |  Yes  |  Yes  |  Yes  |  Yes  | neodrift |
| Neo Mr. Do!                      |  Yes  |  Yes  |  Yes  |  Yes  | neomrdo  |
| Neo Turf Masters / Big Tournament|  Yes  |  Yes  |  Yes  |  Yes  | turfmast |
| Neo-Geo Cup '98 - The Road to the|  Yes  |  Yes  |  Yes  |  Yes  | neocup98 |
| Net Wars                         |  Yes  |  Yes  |  Yes  |  Yes  | netwars  |
| Nettoh Quiz Champion             |  Yes  | Close |  Yes  |   No  | nettoqc  |
| Nettou! Gekitou! Quiztou!!       |  Yes  |  Yes  |Partial|  Yes  | quiztou  |
| New Fantasia                     |  Yes  |  Yes  |  Yes  |   No  | newfant  |
| New Rally X                      |  Yes  |  Yes  | Yes(2)|  Yes  | nrallyx  |
| New Sinbad 7                     |  Yes  | Close |  Yes  |  Yes  | newsin7  |
| New York New York                |  Yes  |  Yes  |Partial|  Yes  | nyny     |
| NewZealand Story, The            |  Yes  |  Yes  |  Yes  |  Yes  | tnzs     |
| News                             |  Yes  |  Yes  |  Yes  |  Yes  | news     |
| Next Space, The                  |  Yes  |  Yes  |  Yes  |   No  | tnexspce |
| Nibbler                          |  Yes  |  Yes  |Part(2)|  Yes  | nibbler  |
| Night Driver                     |  Yes  |  Yes  |Partial|  Yes  | nitedrvr |
| Night Slashers                   |   No  |  Yes  |  Yes  |  Yes  | nslasher |
| Night Stocker                    |  Yes  |  Yes  |  Yes  |  Yes  | nstocker |
| Night Striker                    |  Yes  |  Yes  |  Yes  |  Yes  | nightstr |
| Night Warriors: Darkstalkers' Rev|  Yes  |  Yes  |  Yes  |  Yes  | nwarr    |
| Nightmare in the Dark            |  Yes  |  Yes  |  Yes  |  Yes  | nitd     |
| Ninja Baseball Batman            |  Yes  |  Yes  |  Yes  |  Yes  | nbbatman |
| Ninja Clowns                     |  Yes  |  Yes  |  Yes  |  Yes  | ninclown |
| Ninja Combat                     |  Yes  |  Yes  |  Yes  |  Yes  | ncombat  |
| Ninja Commando                   |  Yes  |  Yes  |  Yes  |  Yes  | ncommand |
| Ninja Emaki                      |  Yes  |  Yes  |  Yes  |  Yes  | ninjemak |
| Ninja Kids, The                  |  Yes  |  Yes  |  Yes  |  Yes  | ninjak   |
| Ninja Master's - haoh-ninpo-cho  |  Yes  |  Yes  |  Yes  |  Yes  | ninjamas |
| Ninja Spirit                     |  Yes  |  Yes  |  Yes  |   No  | nspirit  |
| Ninja Warriors, The              |  Yes  |  Yes  |  Yes  |  Yes  | ninjaw   |
| Ninja-Kid II                     |  Yes  |  Yes  |   No  |  Yes  | ninjakd2 |
| Ninjakun Majou no Bouken         |  Yes  |  Yes  |  Yes  |  Yes  | ninjakun |
| Nintendo Super System: Act Raiser|   No  |  Yes  |   No  |  Yes  | nss_actr |
| Nintendo Super System: Contra 3: |   No  |  Yes  |   No  |  Yes  | nss_con3 |
| Nintendo Super System: David Cran|   No  |  Yes  |   No  |  Yes  | nss_aten |
| Nintendo Super System: F-Zero    |   No  |  Yes  |   No  |  Yes  | nss_fzer |
| Nintendo Super System: Lethal Wea|   No  |  Yes  |   No  |  Yes  | nss_lwep |
| Nintendo Super System: NCAA Baske|   No  |  Yes  |   No  |  Yes  | nss_ncaa |
| Nintendo Super System: Robocop 3 |   No  |  Yes  |   No  |  Yes  | nss_rob3 |
| Nintendo Super System: Skins Game|   No  |  Yes  |   No  |  Yes  | nss_skin |
| Nintendo Super System: Super Mari|   No  |  Yes  |   No  |  Yes  | nss_smw  |
| Nintendo Super System: Super Socc|   No  |  Yes  |   No  |  Yes  | nss_ssoc |
| Nintendo Super System: Super Tenn|   No  |  Yes  |   No  |  Yes  | nss_sten |
| Nintendo Super System: The Addams|   No  |  Yes  |   No  |  Yes  | nss_adam |
| Nitro Ball                       |  Yes  |  Yes  |  Yes  |  Yes  | nitrobal |
| Niyanpai                         |  Yes  |  Yes  |  Yes  |  Yes  | niyanpai |
| No Man's Land                    |  Yes  |  Yes  |Partial|  Yes  | nomnlnd  |
| Noboranka                        |  Yes  |  Yes  |  Yes  |  Yes  | noboranb |
| Nostradamus                      |  Yes  |  Yes  |  Yes  |   No  | nost     |
| Nouryoku Koujou Iinkai           |  Yes  |  Yes  |  Yes  |   No  | nouryoku |
| Nova 2001                        |  Yes  |  Yes  |  Yes  |  Yes  | nova2001 |
| Numan Athletics                  |  Yes  |  Yes  |Partial|  Yes  | numanath |
| Nunchackun                       |  Yes  | Close |  Yes  |  Yes  | nunchaku |
| Off Road Challenge               |   No  |  Yes  |  Yes  |  Yes  | offroadc |
| Off the Wall                     |  Yes  |  Yes  |  Yes  |  Yes  | offtwall |
| Off the Wall                     |  Yes  |  Yes  |  Yes  |  Yes  | otwalls  |
| Oh My God!                       |  Yes  |  Yes  |  Yes  |   No  | ohmygod  |
| Oishii Puzzle Ha Irimasenka      |  Yes  |  Yes  |  Yes  |  Yes  | oisipuzl |
| Ojanko Club                      |  Yes  |  Yes  |  Yes  |  Yes  | ojankoc  |
| Ojanko High School               |  Yes  |  Yes  |  Yes  |  Yes  | ojankohs |
| Ojanko Yakata                    |  Yes  |  Yes  |  Yes  |  Yes  | ojankoy  |
| Ojanko Yakata 2bankan            |  Yes  |  Yes  |  Yes  |  Yes  | ojanko2  |
| Ojousan                          |  Yes  |  Yes  |  Yes  |  Yes  | ojousan  |
| Oli-Boo-Chu                      |  Yes  |   No  |Partial|  Yes  | olibochu |
| Omega Fighter                    |  Yes  |  Yes  |  Yes  |   No  | omegaf   |
| Omega Race                       |  Yes  |  Yes  |  Yes  |   No  | omegrace |
| One Shot One Kill                |  Yes  |  Yes  |  Yes  |  Yes  | oneshot  |
| Onna Sansirou - Typhoon Gal      |   No  |  Yes  |Partial|  Yes  | onna34ro |
| Opa Opa                          |   No  |  Yes  |  Yes  |  Yes  | opaopa   |
| Operation Thunderbolt            |  Yes  |  Yes  |  Yes  |  Yes  | othunder |
| Operation Wolf                   |  Yes  |  Yes  |  Yes  |  Yes  | opwolf   |
| Operation Wolf 3                 |  Yes  |  Yes  |  Yes  |  Yes  | opwolf3  |
| Orange Club - Maruhi Kagai Jugyou|  Yes  |  Yes  |  Yes  |  Yes  | orangec  |
| Orbit                            |  Yes  |  Yes  |  Yes  |  Yes  | orbit    |
| Orbitron                         |  Yes  |  Yes  |  Yes  |  Yes  | orbitron |
| Ordyne                           |  Yes  |  Yes  |  Yes  |  Yes  | ordyne   |
| Oriental Legend / Xi Yo Gi Shi Re|  Yes  |  Yes  |   No  |  Yes  | orlegend |
| Othello Derby                    |  Yes  |  Yes  |  Yes  |  Yes  | othldrby |
| Othello Shiyouyo                 |   No  |  Yes  |Partial|  Yes  | othellos |
| Otona no Mahjong                 |  Yes  |  Yes  |  Yes  |  Yes  | otonano  |
| Out Run                          |  Yes  |  Yes  |  Yes  |  Yes  | outrun   |
| Out Zone                         |  Yes  |  Yes  |  Yes  |  Yes  | outzone  |
| Outfoxies                        |  Yes  |  Yes  |   No  |  Yes  | outfxies |
| Outrunners                       |  Yes  |  Yes  |  Yes  |  Yes  | orunners |
| Over Drive                       |  Yes  |  Yes  |  Yes  |  Yes  | overdriv |
| Over Top                         |  Yes  |  Yes  |  Yes  |  Yes  | overtop  |
| Ozma Wars                        |  Yes  |  Yes  | Yes(2)|  Yes  | ozmawars |
| Ozon I                           |  Yes  |  Yes  |  Yes  |  Yes  | ozon1    |
| P-47 - The Phantom Fighter       |  Yes  |  Yes  |  Yes  |  Yes  | p47      |
| P-47 Aces                        |  Yes  |  Yes  |Partial|  Yes  | p47aces  |
| P.O.W. - Prisoners of War        |  Yes  |  Yes  |  Yes  |  Yes  | pow      |
| Pac & Pal                        |  Yes  |  Yes  |  Yes  |  Yes  | pacnpal  |
| Pac-Land                         |  Yes  |  Yes  |  Yes  |  Yes  | pacland  |
| Pac-Man Plus                     |  Yes  |  Yes  |  Yes  |  Yes  | pacplus  |
| Pac-Mania                        |  Yes  |  Yes  |  Yes  |  Yes  | pacmania |
| Paca Paca Passion                |   No  |  Yes  |   No  |  Yes  | pacapp   |
| Pachinko Sexy Reaction           |  Yes  |  Yes  |  Yes  |   No  | sxyreact |
| Paddle Mania                     |  Yes  |  Yes  |  Yes  |  Yes  | paddlema |
| Pairs                            |  Yes  |  Yes  |Partial|  Yes  | pairsten |
| Pairs                            |  Yes  |  Yes  |  Yes  |  Yes  | pairs    |
| Pairs Love                       |  Yes  |  Yes  |  Yes  |  Yes  | pairlove |
| Palamedes                        |  Yes  |  Yes  |  Yes  |  Yes  | palamed  |
| Pandora's Palace                 |  Yes  |  Yes  |  Yes  |  Yes  | pandoras |
| Pang                             |  Yes  |  Yes  |  Yes  |  Yes  | pang     |
| Pang Poms                        |  Yes  |  Yes  |   No  |  Yes  | pangpoms |
| Pang! 3                          |  Yes  |  Yes  |  Yes  |  Yes  | pang3    |
| Panic Bomber                     |  Yes  |  Yes  |  Yes  |  Yes  | panicbom |
| Panic Street                     |  Yes  |  Yes  |  Yes  |  Yes  | panicstr |
| Paperboy                         |  Yes  |  Yes  |  Yes  |  Yes  | paperboy |
| Paradise                         |  Yes  |  Yes  |  Yes  |  Yes  | paradise |
| Parodius DA!                     |  Yes  |  Yes  |  Yes  |  Yes  | parodius |
| Pass                             |  Yes  |  Yes  |  Yes  |  Yes  | pass     |
| Passing Shot                     | No(1) |  Yes  |  Yes  |  Yes  | passsht  |
| Pastel Gal                       |  Yes  |  Yes  |  Yes  |  Yes  | pastelgl |
| Pebble Beach - The Great Shot    |   No  |  Yes  |   No  |  Yes  | pblbeach |
| Peek-a-Boo!                      |  Yes  |  Yes  |  Yes  |  Yes  | peekaboo |
| Peggle                           |  Yes  |  Yes  |  Yes  |  Yes  | peggle   |
| Pengo                            |  Yes  |  Yes  |  Yes  |  Yes  | pengo    |
| Penguin Brothers                 |  Yes  |  Yes  |  Yes  |   No  | penbros  |
| Penguin-Kun Wars                 |  Yes  |  Yes  |  Yes  |  Yes  | pkunwar  |
| Pepper II                        |  Yes  |  Yes  |  Yes  |  Yes  | pepper2  |
| Percussor, The                   |  Yes  |  Yes  |  Yes  |  Yes  | percuss  |
| Perestroika Girls                |  Yes  |  Yes  |  Yes  |  Yes  | perestro |
| Perfect Billiard                 |  Yes  |  Yes  |  Yes  |  Yes  | pbillrd  |
| Performan                        |  Yes  |  Yes  |  Yes  |  Yes  | perfrman |
| Peter Pack-Rat                   |  Yes  |  Yes  |  Yes  |  Yes  | peterpak |
| Pettan Pyuu                      |   No  |  Yes  |  Yes  |  Yes  | pettanp  |
| Phantom II                       |  Yes  |  Yes  |   No  |  Yes  | phantom2 |
| Phelios                          |  Yes  |  Yes  |  Yes  |  Yes  | phelios  |
| Phoenix                          |  Yes  |  Yes  |  Yes  |  Yes  | phoenix  |
| Photo Y2K                        |   No  |  Yes  |   No  |  Yes  | photoy2k |
| Phozon                           |  Yes  |  Yes  |  Yes  |  Yes  | phozon   |
| Pickin'                          |  Yes  |  Yes  |  Yes  |  Yes  | pickin   |
